title,coverageId
AVHRR IR10.8 6 orbits accumulated - Metop A,eps__m02_ir108
AVHRR IR10.8 6 orbits accumulated - Metop B,eps__m01_ir108
AVHRR IR10.8 6 orbits accumulated - Metop C,eps__m03_ir108
AVHRR RGB Cloud Daily Accumulated - Metop A,eps__m02_rgb_124
AVHRR RGB Cloud Daily Accumulated - Metop B,eps__m01_rgb_124
AVHRR RGB Cloud Daily Accumulated - Metop C,eps__m03_rgb_124
AVHRR RGB Natural Colour + Fog 6 orbits accumulated - Metop A,eps__m02_rgb_natural_fog
AVHRR RGB Natural Colour + Fog 6 orbits accumulated - Metop B,eps__m01_rgb_natural_fog
AVHRR RGB Natural Colour + Fog 6 orbits accumulated - Metop C,eps__m03_rgb_natural_fog
Active Fire Monitoring (GRIB) - MSG - 0 degree,msg_fes__fire
Active Fire Monitoring (GRIB) - MSG - Indian Ocean,msg_iodc__fire
Airmass RGB - MSG - 0 degree,msg_fes__rgb_airmass
Airmass RGB - MSG - Indian Ocean,msg_iodc__rgb_airmass
Blended SEVIRI / LEO MW precipitation and morphologic information - MSG - 0 degree,msg_fes__h60b
Cloud Mask - MSG - 0 degree,msg_fes__clm
Cloud Mask - MSG - Indian Ocean,msg_iodc__clm
Cloud Phase RGB - MTG-I - 0 degree,mtg_fd__rgb_cloudphase
Cloud Top Height - MSG - 0 degree,msg_fes__cth
Cloud Top Height - MSG - Indian Ocean,msg_iodc__cth
Cloud Type RGB - MTG-I - 0 degree,mtg_fd__rgb_cloudtype
Convection RGB - MSG - 0 degree,msg_fes__rgb_convection
Convection RGB - MSG - Indian Ocean,msg_iodc__rgb_convection
Day Microphysics RGB - MSG - 0 degree,msg_fes__rgb_microphysics
Day Microphysics RGB - MSG - Indian Ocean,msg_iodc__rgb_microphysics
Dust RGB - MSG - 0 degree,msg_fes__rgb_dust
Dust RGB - MSG - Indian Ocean,msg_iodc__rgb_dust
Dust RGB - MTG-I - 0 degree,mtg_fd__rgb_dust
European HRV RGB,msg_fes__rgb_eview
European HRV RGB - MSG - Indian Ocean,msg_iodc__rgb_eview
FCI HRFI IR10.5 μm Image - MTG-I - 0 degree,mtg_fd__ir105_hrfi
FCI HRFI VIS0.6 μm Image - MTG-I - 0 degree,mtg_fd__vis06_hrfi
Fire Temperature RGB - MTG-I - 0 degree,mtg_fd__rgb_firetemperature
Fog / Low Clouds RGB - MSG - 0 degree,msg_fes__rgb_fog
Fog / Low Clouds RGB - MSG - Indian Ocean,msg_iodc__rgb_fog
Fog / Low Clouds RGB - MTG-I - 0 degree,mtg_fd__rgb_fog
GII K-Index – MSG – 0 degree,msg_fes__gii_kindex
GII Lifted-Index – MSG – 0 degree,msg_fes__gii_liftedindex
Geo Colour RGB - MTG-I - 0 degree,mtg_fd__rgb_geocolour
Geo Ring Airmass RGB - Multimission,mumi__wideareacoverage_rgb_airmass
Geo Ring Ash RGB - Multimission,mumi__wideareacoverage_rgb_ash
Geo Ring Dust RGB - Multimission,mumi__wideareacoverage_rgb_dust
Geo Ring Natural Colour RGB - Multimission,mumi__wideareacoverage_rgb_natural
Geostationary Ring IR10.8 μm Image - Multimission,mumi__worldcloudmap_ir108
Global Instability K-Index - MSG - Indian Ocean,msg_iodc__gii_kindex
Global Instability Lifted-Index – MSG – Indian Ocean,msg_iodc__gii_liftedindex
Global L3C AVHRR Sea Surface Temperature (GHRSST) - Metop,eps__osisaf_avhrr_l3_sst
High Rate SEVIRI IR10.8 μm Image - MSG - 0 degree,msg_fes__ir108
High Rate SEVIRI IR10.8 μm Image - MSG - Indian Ocean,msg_iodc__ir108
High Rate SEVIRI IR3.9 μm Image - MSG - 0 degree,msg_fes__ir039
High Rate SEVIRI IR3.9 μm Image - MSG - Indian Ocean,msg_iodc__ir039
High Rate SEVIRI VIS0.6 μm Image - MSG - 0 degree,msg_fes__vis006
High Rate SEVIRI VIS0.6 μm Image - MSG - Indian Ocean,msg_iodc__vis006
